"id";"business_id";"business_name";"business_address";"business_city";"business_state";"business_postal_code";"business_latitude";"business_longitude";"business_phone_number";"inspection_id";"inspection_date";"inspection_score";"inspection_type";"violation_id";"violation_description";"risk_category";"createdAt";"updatedAt"
11;"1021";"LA SANTANECA DE LA MISSION";"2815 MISSION St";"San Francisco";"CA";"94110";"37.751885";"-122.418406";"+14155282131";"1021_20170912";"09/12/2017 12:00:00 AM";"90";"Routine - Unscheduled";"1021_20170912_103157";"Food safety certificate or food handler card not available";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
12;"61736";"Rosamunde Sausage Grill";"2832 MISSION St";"San Francisco";"CA";"94110";"37.751587";"-122.418444";"+14155307170";"61736_20170713";"09/18/2018 12:00:00 AM";"86";"Routine - Unscheduled";"61736_20170713_103131";"Moderate risk vermin infestation";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
13;"5855";"SOTA (SCHOOL OF THE ARTS)";"555 Portola Dr";"San Francisco";"CA";"94131";"37.745674";"-122.45085";"+14155695700";"5855_20161102";"11/17/2017 12:00:00 AM";"88";"Routine - Unscheduled";"5855_20161102_103119";"Inadequate and inaccessible handwashing facilities";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
14;"37060";"Halu";"312 08th Ave";"San Francisco";"CA";"94118";"37.782576";"-122.46648";"+14155229165";"37060_20190507";"12/05/2017 12:00:00 AM";"85";"Routine - Unscheduled";"37060_20190507_103109";"Unclean or unsanitary food contact surfaces";"High Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
15;"1426";"SWEET DELIGHT BAKERY";"4476A MISSION";"San Francisco";"CA";"94112";"37.726117";"-122.433817";"+14155336786";"1426_20161026";"11/29/2017 12:00:00 AM";"70";"Routine - Unscheduled";"1426_20161026_103103";"High risk food holding temperature";"High Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
16;"18102";"Kim Son Restaurant";"3614 BALBOA St";"San Francisco";"CA";"94121";"37.775728";"-122.497701";"+14155815413";"18102_20190220";"04/27/2018 12:00:00 AM";"71";"Routine - Unscheduled";"18102_20190220_103114";"High risk vermin infestation";"High Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
17;"3862";"IMPERIAL GARDEN SEAFOOD RESTAURANT";"2626 SAN BRUNO Ave";"San Francisco";"CA";"94134";"37.728458";"-122.403991";"+14155469666";"3862_20190311";"09/05/2017 12:00:00 AM";"65";"Routine - Unscheduled";"3862_20190311_103113";"Sewage or wastewater contamination";"High Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
18;"62064";"California Grocery";"123 Eddy St";"San Francisco";"CA";"94102";"37.784303";"-122.409647";"+14155448608";"62064_20171016";"10/16/2017 12:00:00 AM";"92";"Routine - Unscheduled";"62064_20171016_103131";"Moderate risk vermin infestation";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
19;"37090";"Basil Canteen";"1489 FOLSOM St";"San Francisco";"CA";"94103";"37.772008";"-122.413803";"+14155553963";"37090_20170629";"06/29/2017 12:00:00 AM";"71";"Routine - Unscheduled";"37090_20170629_103133";"Foods not protected from contamination";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
20;"1003";"RINCON PERUANO RESTAURANT";"3364 26th St";"San Francisco";"CA";"94110";"37.749128";"-122.417402";"+14155897712";"1003_20160706";"08/23/2017 12:00:00 AM";"88";"Routine - Unscheduled";"1003_20160706_103153";"Inadequate dressing rooms or improper storage of personal items";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
21;"2315";"TAQUERIA CAN-CUN";"2288 MISSION St";"San Francisco";"CA";"94110";"37.760487";"-122.419285";"+14155259560";"2315_20180917";"12/07/2016 12:00:00 AM";"81";"Routine - Unscheduled";"2315_20180917_103119";"Inadequate and inaccessible handwashing facilities";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
22;"27799";"Buckhorn Grill";"845 Market St FE-5";"San Francisco";"CA";"94103";"37.784848";"-122.406892";"+14155979770";"27799_20160711";"07/11/2016 12:00:00 AM";"87";"Routine - Unscheduled";"27799_20160711_103131";"Moderate risk vermin infestation";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
23;"146";"DEJA VU PIZZA & PASTA";"3227 16th St";"San Francisco";"CA";"94103";"37.764713";"-122.424709";"+14155251600";"146_20161017";"12/27/2018 12:00:00 AM";"84";"Routine - Unscheduled";"146_20161017_103120";"Moderate risk food holding temperature";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
24;"3252";"LITTLE JOES PIZZA REST.";"5006 MISSION St";"San Francisco";"CA";"94112";"37.718359";"-122.439655";"+14155333684";"3252_20160725";"07/25/2016 12:00:00 AM";"86";"Routine - Unscheduled";"3252_20160725_103119";"Inadequate and inaccessible handwashing facilities";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
25;"2002";"PANDA EXPRESS";"3251 20th Ave 250H";"San Francisco";"CA";"94132";"37.728497";"-122.475639";"+14155731403";"2002_20160914";"12/27/2017 12:00:00 AM";"98";"Routine - Unscheduled";"2002_20160914_103144";"Unapproved or unmaintained equipment or utensils";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
26;"8750";"Kokoro Assisted Living";"1881 Bush Street";"San Francisco";"CA";"94109";"37.787639";"-122.428182";"+14155378288";"8750_20160802";"08/17/2018 12:00:00 AM";"93";"Routine - Unscheduled";"8750_20160802_103102";"Unclean hands or improper use of gloves";"High Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
27;"68467";"Yong Fong Co.";"612 Clement St";"San Francisco";"CA";"94118";"37.782939";"-122.465631";"+14155835617";"68467_20180521";"06/03/2016 12:00:00 AM";"100";"Routine - Unscheduled";"";"";"";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
28;"62578";"New Chef Hung's Restaurant";"823 Clay St";"San Francisco";"CA";"94108";"37.794193";"-122.406677";"+14155396883";"62578_20181130";"12/07/2017 12:00:00 AM";"73";"Routine - Unscheduled";"62578_20181130_103124";"Inadequately cleaned or sanitized food contact surfaces";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
29;"1203";"TAWAN'S THAI FOOD";"4403 GEARY Blvd";"San Francisco";"CA";"94118";"37.780834";"-122.46659";"+14155755175";"1203_20190403";"10/13/2016 12:00:00 AM";"78";"Routine - Unscheduled";"1203_20190403_103158";"Unpermitted food facility";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
30;"2627";"BURGERMEISTER";"138 Church St";"San Francisco";"CA";"94114";"37.768776";"-122.429095";"+14155432874";"2627_20180530";"05/30/2018 12:00:00 AM";"89";"Routine - Unscheduled";"2627_20180530_103119";"Inadequate and inaccessible handwashing facilities";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
31;"5919";"SAN FRANCISCO DAY SCHOOL";"350 MASONIC St";"San Francisco";"CA";"94118";"37.777988";"-122.446877";"+14155932422";"5919_20161013";"10/31/2017 12:00:00 AM";"98";"Routine - Unscheduled";"5919_20161013_103157";"Food safety certificate or food handler card not available";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
32;"5998";"CENTRO LATINO DE SAN FRANCISCO";"1656 15th St";"San Francisco";"CA";"94103";"37.766618";"-122.421263";"+14155868758";"5998_20180409";"10/13/2016 12:00:00 AM";"86";"Routine - Unscheduled";"5998_20180409_103123";"Food in poor condition";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
33;"4558";"KING'S BAKERY";"2846 MISSION St";"San Francisco";"CA";"94110";"37.751356";"-122.418414";"+14155284550";"4558_20160620";"10/24/2018 12:00:00 AM";"89";"Routine - Unscheduled";"4558_20160620_103103";"High risk food holding temperature";"High Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
34;"5841";"JEFFERSON ELEMENTARY SCHOOL";"1725 IRVING St";"San Francisco";"CA";"94122";"37.763543";"-122.476332";"+14155752821";"5841_20171129";"12/02/2016 12:00:00 AM";"100";"Routine - Unscheduled";"";"";"";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
35;"5852";"CARVER ELEMENTARY SCHOOL";"1360 OAKDALE Ave";"San Francisco";"CA";"94124";"37.732408";"-122.386391";"+14155331540";"5852_20170908";"10/17/2018 12:00:00 AM";"100";"Routine - Unscheduled";"";"";"";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
36;"5955";"SF CHRISTIAN DAY SCHOOL";"25 WHITTIER St";"San Francisco";"CA";"94112";"37.709896";"-122.448082";"+14155581117";"5955_20190214";"12/07/2018 12:00:00 AM";"96";"Routine - Unscheduled";"5955_20190214_103156";"Permit license or inspection report not posted";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
37;"4478";"AFC Sushi @ Safeway #1490";"2300 16th St";"San Francisco";"CA";"94103";"37.765708";"-122.409002";"+14155571120";"4478_20171206";"12/13/2018 12:00:00 AM";"100";"Routine - Unscheduled";"";"";"";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
38;"591";"YOU SEE SUSHI";"94 JUDAH St";"San Francisco";"CA";"94122";"37.762378";"-122.462692";"+14155684010";"591_20180206";"12/11/2018 12:00:00 AM";"89";"Routine - Unscheduled";"591_20180206_103102";"Unclean hands or improper use of gloves";"High Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
39;"5192";"COMING HOME HOSPICE";"115 Diamond St";"San Francisco";"CA";"94107";"37.760485";"-122.437091";"+14155861110";"5192_20181108";"11/08/2018 12:00:00 AM";"96";"Routine - Unscheduled";"5192_20181108_103133";"Foods not protected from contamination";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
40;"5843";"HOOVER MIDDLE SCHOOL";"2290 14th Ave";"San Francisco";"CA";"94116";"37.745374";"-122.470308";"+14155752783";"5843_20161109";"11/09/2016 12:00:00 AM";"96";"Routine - Unscheduled";"5843_20161109_103131";"Moderate risk vermin infestation";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
41;"1381";"PEBBLE'S CAFE";"2852 Diamond St";"San Francisco";"CA";"94131";"37.73382";"-122.434093";"+14155332270";"1381_20170822";"11/28/2016 12:00:00 AM";"92";"Routine - Unscheduled";"1381_20170822_103120";"Moderate risk food holding temperature";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
42;"3630";"MAD DOG IN THE FOG";"530 HAIGHT St";"San Francisco";"CA";"94117";"37.772097";"-122.430814";"+14155627279";"3630_20180130";"06/30/2016 12:00:00 AM";"90";"Routine - Unscheduled";"3630_20180130_103156";"Permit license or inspection report not posted";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
43;"59838";"OTD";"2232 Bush St";"San Francisco";"CA";"94115";"37.786988";"-122.434074";"+14155929578";"59838_20190211";"07/23/2018 12:00:00 AM";"92";"Routine - Unscheduled";"59838_20190211_103134";"Other moderate risk violation";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
44;"3838";"CAFE PICARO";"3120 16th St";"San Francisco";"CA";"94103";"37.764908";"-122.422442";"+14155434089";"3838_20180222";"08/05/2016 12:00:00 AM";"72";"Routine - Unscheduled";"3838_20180222_103142";"Unclean nonfood contact surfaces";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
45;"27306";"Guerrero Market";"701 Guerrero St";"San Francisco";"CA";"94110";"37.759824";"-122.423577";"+14155642530";"27306_20160518";"10/10/2017 12:00:00 AM";"94";"Routine - Unscheduled";"27306_20160518_103145";"Improper storage of equipment utensils or linens";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
46;"7689";"UNOCAL 76  PACIFIC ENTERPRISES";"999 OCEAN Ave";"San Francisco";"CA";"94112";"37.723133";"-122.452707";"+14155588296";"7689_20190425";"08/11/2016 12:00:00 AM";"96";"Routine - Unscheduled";"7689_20190425_103119";"Inadequate and inaccessible handwashing facilities";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
47;"4864";"DRAGON CITY BAKERY & CAFE";"2367 MISSION St";"San Francisco";"CA";"94110";"37.759174";"-122.419066";"+14155829718";"4864_20161206";"12/06/2016 12:00:00 AM";"84";"Routine - Unscheduled";"4864_20161206_103157";"Food safety certificate or food handler card not available";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
48;"7645";"LUCKY PORK MARKET";"2659 MISSION St";"San Francisco";"CA";"94110";"37.754513";"-122.418626";"+14155644805";"7645_20181023";"12/30/2016 12:00:00 AM";"86";"Routine - Unscheduled";"7645_20181023_103120";"Moderate risk food holding temperature";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
49;"3262";"VILLA D'ESTE";"2623 OCEAN Ave";"San Francisco";"CA";"94132";"37.731781";"-122.47359";"+14155330580";"3262_20180507";"05/16/2019 12:00:00 AM";"77";"Routine - Unscheduled";"3262_20180507_103119";"Inadequate and inaccessible handwashing facilities";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
50;"2538";"KATES KITCHEN";"471 HAIGHT St";"San Francisco";"CA";"94102";"37.772163";"-122.429927";"+14155623984";"2538_20170608";"10/05/2018 12:00:00 AM";"73";"Routine - Unscheduled";"2538_20170608_103116";"Inadequate food safety knowledge or lack of certified food safety manager";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
51;"1154";"SUNFLOWER RESTAURANT";"506 Valencia St";"San Francisco";"CA";"94103";"37.764678";"-122.421905";"+14155625023";"1154_20160912";"09/12/2016 12:00:00 AM";"76";"Routine - Unscheduled";"1154_20160912_103119";"Inadequate and inaccessible handwashing facilities";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
52;"1926";"LINCOLN PARK BAR AND GRILL";"300 34th Ave";"San Francisco";"CA";"94121";"37.782971";"-122.496324";"+14155222254";"1926_20171013";"10/13/2017 12:00:00 AM";"84";"Routine - Unscheduled";"1926_20171013_103161";"Low risk vermin infestation";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
53;"32671";"La Taqueria Guadalajara";"3146 24th St";"San Francisco";"CA";"94110";"37.752512";"-122.415109";"+14155644892";"32671_20160629";"09/20/2017 12:00:00 AM";"84";"Routine - Unscheduled";"32671_20160629_103142";"Unclean nonfood contact surfaces";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
54;"64379";"Piccadilly Fish & Chips";"1348 Polk St";"San Francisco";"CA";"94109";"37.789299";"-122.420352";"+14155776477";"64379_20161024";"10/24/2016 12:00:00 AM";"90";"Routine - Unscheduled";"64379_20161024_103161";"Low risk vermin infestation";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
55;"6025";"KIMOCHI INC";"1840 SUTTER St 208";"San Francisco";"CA";"94115";"37.786428";"-122.430883";"+14155932294";"6025_20190314";"11/28/2016 12:00:00 AM";"85";"Routine - Unscheduled";"6025_20190314_103150";"Improper or defective plumbing";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
56;"1635";"KEZAR PUB";"770 Stanyan St";"San Francisco";"CA";"94117";"37.767828";"-122.453227";"+14155389292";"1635_20171215";"12/15/2017 12:00:00 AM";"91";"Routine - Unscheduled";"1635_20171215_103114";"High risk vermin infestation";"High Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
57;"69195";"Center Cafe";"205 13th St";"San Francisco";"CA";"94103";"37.769751";"-122.41832";"+14155863888";"69195_20170621";"06/21/2017 12:00:00 AM";"81";"Routine - Unscheduled";"69195_20170621_103154";"Unclean or degraded floors walls or ceilings";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
58;"2359";"LA TRAVIATA";"2854 MISSION St";"San Francisco";"CA";"94110";"37.751296";"-122.418414";"+14155280500";"2359_20170706";"07/06/2017 12:00:00 AM";"62";"Routine - Unscheduled";"2359_20170706_103153";"Inadequate dressing rooms or improper storage of personal items";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
59;"3065";"CHA-AM RESTAURANT";"701 FOLSOM St";"San Francisco";"CA";"94107";"37.783738";"-122.398918";"+14155549710";"3065_20171019";"10/19/2017 12:00:00 AM";"85";"Routine - Unscheduled";"3065_20171019_103103";"High risk food holding temperature";"High Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
60;"61989";"Osha Thai Restaurant & Lounge";"311 03rd St";"San Francisco";"CA";"94107";"37.783662";"-122.398704";"+14155896742";"61989_20190307";"06/27/2017 12:00:00 AM";"88";"Routine - Unscheduled";"61989_20190307_103118";"Employee eating or smoking";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
61;"3885";"IZZY'S STEAK & CHOP HOUSE";"3345 STEINER St";"San Francisco";"CA";"94123";"37.800384";"-122.437864";"+14155560487";"3885_20160616";"06/16/2016 12:00:00 AM";"83";"Routine - Unscheduled";"3885_20160616_103154";"Unclean or degraded floors walls or ceilings";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
62;"63413";"Mymy";"1500 California St";"San Francisco";"CA";"94109";"37.790798";"-122.419214";"+14155807466";"63413_20180522";"10/30/2017 12:00:00 AM";"90";"Routine - Unscheduled";"63413_20180522_103120";"Moderate risk food holding temperature";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
63;"7678";"Casa Thai Market";"3020 16th St";"San Francisco";"CA";"94103";"37.765049";"-122.420122";"+14155433562";"7678_20180212";"07/25/2016 12:00:00 AM";"83";"Routine - Unscheduled";"7678_20180212_103133";"Foods not protected from contamination";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
64;"70685";"5 Degree Tea House";"2527 SAN BRUNO Ave";"San Francisco";"CA";"94134";"37.729753";"-122.40447";"+14155828233";"70685_20160726";"12/12/2017 12:00:00 AM";"92";"Routine - Unscheduled";"70685_20160726_103177";"Non service animal";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
65;"5868";"LONGFELLOW ELEMENTARY SCHOOL";"755 MORSE St";"San Francisco";"CA";"94112";"37.710459";"-122.447713";"+14155464730";"5868_20180220";"10/24/2018 12:00:00 AM";"100";"Routine - Unscheduled";"";"";"";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
66;"25167";"Glaze Donuts";"4499 Mission St A";"San Francisco";"CA";"94112";"37.726402";"-122.433476";"+14155331144";"25167_20160622";"12/08/2016 12:00:00 AM";"92";"Routine - Unscheduled";"25167_20160622_103120";"Moderate risk food holding temperature";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
67;"7105";"CENTRAL HAIGHT MARKET";"1301 HAIGHT St";"San Francisco";"CA";"94117";"37.77036";"-122.4437";"+14155625203";"7105_20180605";"07/19/2016 12:00:00 AM";"94";"Routine - Unscheduled";"7105_20180605_103120";"Moderate risk food holding temperature";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
68;"5156";"McDONALD'S";"302 POTRERO Ave";"San Francisco";"CA";"94110";"37.765507";"-122.407565";"+14155863295";"5156_20161024";"10/24/2016 12:00:00 AM";"84";"Routine - Unscheduled";"5156_20161024_103154";"Unclean or degraded floors walls or ceilings";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
69;"1354";"SUSHI TIME";"2275 MARKET St";"San Francisco";"CA";"94114";"37.764697";"-122.432322";"+14155552280";"1354_20180420";"09/28/2016 12:00:00 AM";"86";"Routine - Unscheduled";"1354_20180420_103119";"Inadequate and inaccessible handwashing facilities";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
70;"1026";"PHUKET THAI RESTAURANT";"248 DIVISADERO St";"San Francisco";"CA";"94117";"37.771117";"-122.436976";"+14155979594";"1026_20160726";"07/26/2016 12:00:00 AM";"87";"Routine - Unscheduled";"1026_20160726_103142";"Unclean nonfood contact surfaces";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
71;"71168";"Mangrove Kitchen";"312 DIVISADERO St";"San Francisco";"CA";"94117";"37.772458";"-122.437247";"+14155795454";"71168_20161024";"10/24/2016 12:00:00 AM";"78";"Routine - Unscheduled";"71168_20161024_103144";"Unapproved or unmaintained equipment or utensils";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
72;"7643";"PACIFIC SUPER MARKET";"2900 ALEMANY Blvd";"San Francisco";"CA";"94112";"37.712148";"-122.452076";"+14155331628";"7643_20180416";"09/27/2016 12:00:00 AM";"78";"Routine - Unscheduled";"7643_20180416_103144";"Unapproved or unmaintained equipment or utensils";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
73;"1352";"LA TORTILLA";"495 Castro St B";"San Francisco";"CA";"94114";"37.760954";"-122.434935";"+14155863990";"1352_20170726";"11/29/2016 12:00:00 AM";"86";"Routine - Unscheduled";"1352_20170726_103154";"Unclean or degraded floors walls or ceilings";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
74;"3102";"TOWN'S END RESTAURANT & BAKERY";"2 TOWNSEND St";"San Francisco";"CA";"94107";"37.781865";"-122.388433";"+14155510749";"3102_20160830";"08/30/2016 12:00:00 AM";"87";"Routine - Unscheduled";"3102_20160830_103133";"Foods not protected from contamination";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
75;"63082";"The Brick Yard";"1787 Union St";"San Francisco";"CA";"94123";"37.797933";"-122.428627";"+14156677676";"63082_20180731";"08/24/2017 12:00:00 AM";"81";"Routine - Unscheduled";"63082_20180731_103114";"High risk vermin infestation";"High Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
76;"5830";"Theodore Roosevelt Middle School";"460 Arguello Blvd";"San Francisco";"CA";"94118";"37.782383";"-122.458926";"+14155758446";"5830_20171023";"10/25/2016 12:00:00 AM";"98";"Routine - Unscheduled";"5830_20171023_103150";"Improper or defective plumbing";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
77;"69175";"Mau Restaurant";"665 Valencia St";"San Francisco";"CA";"94110";"37.762381";"-122.42156";"+14155307517";"69175_20180410";"08/29/2017 12:00:00 AM";"83";"Routine - Unscheduled";"69175_20180410_103142";"Unclean nonfood contact surfaces";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
78;"5000";"PEET'S COFFEE & TEA";"2257 MARKET St";"San Francisco";"CA";"94114";"37.764947";"-122.432012";"+14155626416";"5000_20180629";"06/29/2018 12:00:00 AM";"98";"Routine - Unscheduled";"5000_20180629_103154";"Unclean or degraded floors walls or ceilings";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
79;"64938";"Xpress Market";"498 O'Farrell St";"San Francisco";"CA";"94102";"37.785861";"-122.412954";"+14155923063";"64938_20190503";"05/03/2019 12:00:00 AM";"98";"Routine - Unscheduled";"64938_20190503_103142";"Unclean nonfood contact surfaces";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
80;"2750";"HAMANO SUSHI";"1332 CASTRO St";"San Francisco";"CA";"94114";"37.750778";"-122.434065";"+14155820825";"2750_20180801";"08/23/2017 12:00:00 AM";"88";"Routine - Unscheduled";"2750_20180801_103142";"Unclean nonfood contact surfaces";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
